16.6  42.1;4.13;415;7.
39.  141.3;7.;368;7.
22.2  47.6;62.;211;7.
57.5 320.4;66.;211;7.
29.9 245.5;81.;200;7.
-16.  271.5;1;1;7.1
42.4  51.4;1;1;7.1
35.6  11.9;2.05;499;7.2
16.1 281.4;1;1;7.3
-39.4 264.1;1.49;542;7.3
10.  348.5;67.;211;8.
-21.2   8.9;89.;200;8.
30.5 263.5;84.;200;8.
8.3  34.2;1;1;8.5
75.2 255.3;1;1;8.5
-41.6 137.9;13.;329;9.
-16.7 342.4;83.;211;9.
69.2 153.6;1;1;9.2
28.  191.5;5.46;422;9.8
-79.2 192.3;1;1;9.8
-30.5  44.5;1;1;10.
15.2 231.2;4.;450;10.
-27.8 160.;483.;138;10.
33.8 171.1;87.;212;10.
-58.7 178.9;234.;166;10.
3.1 184.2;41.;258;10.
-21.2 186.8;136.;190;10.
-55.7 205.1;707.;126;10.
-3.8 231.9;231.;166;10.
44.1 232.7;5545.;75;10.
-70.7 280.8;108.;200;10.
72.6 272.;2.32;528;10.
6.5  43.3;1;1;10.
49.4 202.3;1;1;11.
-13.5  76.;117.;200;11.
-9.2 108.8;1;1;11.
5.1 135.6;139.;199;12.
64.8 190.;1235.;115;12.
26.2 355.1;111.;211;12.
-11.3 355.3;134.;200;12.
70.6  52.7;14.76;347;12.
-68.3 347.3;5.41;451;13.
-24.   49.7;1.71;413;13.
-26.5  75.5;1;1;13.
43.4 355.1;14.14;359;13.
-29.5 219.;1;1;14.
-9.  234.7;1;1;14.
11.3 321.6;129.;211;14.
34.5  74.6;153.;200;14.
72.6 240.5;22.57;428;14.
-15.2 154.6;63.;255;15.
-3.2  11.7;164.;200;15.
-11.8 210.;142.;211;16.
-10.9 199.9;147.;211;17.
-21.1 213.7;151.;211;17.
-58.6 169.1;188.;200;17.
15.9 312.9;191.;200;17.
-8.4  52.2;1;1;17.
-7.7 312.4;9.18;434;19.
-74.7 181.;1;1;19.
-1.7 144.;58.;276;19.
-18.2 193.5;165.;211;19.
30.8  18.5;214.;200;19.
2.9  84.;205.;204;20.
-28.3  88.5;2016.;115;20.
-37.3  92.8;485.;164;20.
-9.5  93.3;81.;257;20.
-5.3 111.4;422.;170;20.
23.4 117.9;176.;212;20.
2.2 124.9;388.;174;20.
27.2 158.4;367.;176;20.
30.1 158.7;143.;223;20.
19.6 159.2;432.;169;20.
-42.2 160.5;237.;196;20.
-80.5 320.;1232.;130;20.
-45.4 349.8;1243.;130;20.
-49.  319.7;57.;272;20.
16.6 331.4;81.;257;20.
-55.8 251.1;672.;152;20.
-54.3 269.1;294.;185;20.
-62.3 280.2;427.;169;20.
3.7 283.4;271.;190;20.
49.4 310.3;1053.;200;20.
27.3 316.;311.;200;20.
-31.  338.1;495.;200;20.
17.2  48.4;49.88;291;20.
-16.1 329.9;68.;200;21.
14.8 139.7;87.;257;22.
2.9 277.7;197.;211;22.
-54.4 119.2;51.;298;23.
-50.5  41.4;209.;211;23.
-3.5 349.5;267.;200;24.
46.9 145.7;53.;305;26.
-80.2 315.;16.16;414;27.
-2.4 297.2;250.;211;28.
21.1  56.9;255.;211;29.
-26.7 156.8;325.;200;29.
-18.6  88.3;19.;410;30.
63.9  99.5;350.;196;30.
-13.4 277.5;633.;170;30.
-20.4 324.7;273.;211;31.
50.6 313.4;19.29;412;32.
